plot,habitat,hab_type,date,n_species,abundance
T1,agriculture,open,2003-06-26,17,26
T1,agriculture,open,2003-07-17,7,13
T1,agriculture,open,2003-07-19,16,34
T1,agriculture,open,2003-07-20,11,39
T1,agriculture,open,2003-07-21,11,14
T1,agriculture,open,2003-08-17,13,21
T1,agriculture,open,2003-08-19,16,26
T1,agriculture,open,2003-08-20,10,15
T1,agriculture,open,2003-10-15,30,59
T1,agriculture,open,2003-10-16,29,85
T1,agriculture,open,2003-10-17,39,146
T1,agriculture,open,2004-05-15,17,29
T1,agriculture,open,2004-05-18,9,37
T1,agriculture,open,2004-05-20,11,30
T1,agriculture,open,2004-05-21,16,34
T1,agriculture,open,2004-06-18,24,35
T1,agriculture,open,2004-06-19,13,31
T1,agriculture,open,2004-06-20,15,27
T1,agriculture,open,2004-06-21,18,37
T1,agriculture,open,2004-07-17,26,80
T1,agriculture,open,2004-07-18,26,128
T1,agriculture,open,2004-08-18,13,28
T1,agriculture,open,2004-08-19,20,31
T1,agriculture,open,2004-08-20,19,56
T1,agriculture,open,2004-09-17,29,103
T1,agriculture,open,2004-09-19,26,92
T1,agriculture,open,2004-10-11,7,49
T1,agriculture,open,2004-10-12,28,101
T1,agriculture,open,2004-10-13,25,62
T1,agriculture,open,2004-10-14,20,42
T1,agriculture,open,2005-06-17,28,64
T1,agriculture,open,2005-06-18,9,27
T1,agriculture,open,2005-06-20,6,7
T1,agriculture,open,2005-07-16,15,24
T1,agriculture,open,2005-07-17,12,17
T1,agriculture,open,2005-07-19,6,9
T1,agriculture,open,2005-07-20,10,14
T1,agriculture,open,2005-08-17,13,18
T1,agriculture,open,2005-08-18,14,21
T1,agriculture,open,2005-08-19,8,14
T1,agriculture,open,2005-08-20,5,8
T1,agriculture,open,2005-08-21,11,17
T1,agriculture,open,2005-09-17,8,8
T1,agriculture,open,2005-09-20,8,11
T1,agriculture,open,2005-09-21,12,27
T1,agriculture,open,2005-10-09,4,5
T1,agriculture,open,2005-10-11,14,33
T1,agriculture,open,2005-10-12,15,22
T1,agriculture,open,2005-10-31,11,24
T1,agriculture,open,2006-06-16,13,36
T1,agriculture,open,2006-06-19,10,25
T1,agriculture,open,2006-06-21,9,13
T1,agriculture,open,2006-07-16,19,27
T1,agriculture,open,2006-07-19,18,65
T1,agriculture,open,2006-08-20,16,49
T1,agriculture,open,2006-08-21,15,49
T1,agriculture,open,2006-09-17,8,13
T1,agriculture,open,2006-09-19,15,23
T1,agriculture,open,2006-10-08,21,48
T1,agriculture,open,2006-10-11,18,42
T1,agriculture,open,2006-10-30,24,68
T1,agriculture,open,2007-06-17,24,45
T1,agriculture,open,2007-06-20,26,73
T1,agriculture,open,2007-07-18,14,21
T1,agriculture,open,2007-07-20,11,22
T1,agriculture,open,2007-09-16,15,44
T1,agriculture,open,2007-09-19,23,68
T1,agriculture,open,2007-10-07,25,59
T1,agriculture,open,2007-10-09,20,52
T1,agriculture,open,2008-06-19,26,82
T1,agriculture,open,2008-06-20,52,261
T1,agriculture,open,2008-06-23,31,111
T1,agriculture,open,2008-10-12,17,45
T1,agriculture,open,2008-10-16,23,60
T1,agriculture,open,2012-07-16,9,13
T1,agriculture,open,2012-07-17,7,13
T1,agriculture,open,2012-07-18,10,18
T1,agriculture,open,2012-08-21,9,20
T1,agriculture,open,2012-08-25,6,13
T1,agriculture,open,2012-09-21,5,7
T1,agriculture,open,2012-10-06,22,72
T1,agriculture,open,2012-10-13,20,33
T1,agriculture,open,2012-10-14,25,51
T1,agriculture,open,2012-10-27,19,41
T1,agriculture,open,2013-05-18,18,47
T1,agriculture,open,2013-05-19,24,48
T1,agriculture,open,2013-06-02,16,41
T1,agriculture,open,2013-06-04,24,67
T1,agriculture,open,2013-07-14,27,71
T1,agriculture,open,2013-08-18,20,35
T1,agriculture,open,2013-09-21,24,48
T1,agriculture,open,2013-09-23,21,31
T1,agriculture,open,2013-10-12,21,55
T2,disturbed_forest,forest,2003-06-26,11,21
T2,disturbed_forest,forest,2003-07-17,6,17
T2,disturbed_forest,forest,2003-07-20,9,23
T2,disturbed_forest,forest,2003-08-18,5,15
T2,disturbed_forest,forest,2003-08-19,9,21
T2,disturbed_forest,forest,2003-08-20,5,12
T2,disturbed_forest,forest,2003-10-13,12,28
T2,disturbed_forest,forest,2003-10-15,12,34
T2,disturbed_forest,forest,2003-10-16,18,47
T2,disturbed_forest,forest,2003-10-17,5,17
T2,disturbed_forest,forest,2004-05-16,11,35
T2,disturbed_forest,forest,2004-05-17,5,28
T2,disturbed_forest,forest,2004-05-18,6,35
T2,disturbed_forest,forest,2004-05-20,4,26
T2,disturbed_forest,forest,2004-06-17,17,43
T2,disturbed_forest,forest,2004-06-18,16,50
T2,disturbed_forest,forest,2004-06-20,19,49
T2,disturbed_forest,forest,2004-06-21,11,38
T2,disturbed_forest,forest,2004-07-17,14,74
T2,disturbed_forest,forest,2004-07-18,11,78
T2,disturbed_forest,forest,2004-08-18,11,25
T2,disturbed_forest,forest,2004-08-20,9,18
T2,disturbed_forest,forest,2004-09-17,9,67
T2,disturbed_forest,forest,2004-09-19,16,142
T2,disturbed_forest,forest,2004-10-13,9,48
T2,disturbed_forest,forest,2004-10-14,14,65
T2,disturbed_forest,forest,2005-05-17,13,20
T2,disturbed_forest,forest,2005-05-21,21,117
T2,disturbed_forest,forest,2005-06-17,25,58
T2,disturbed_forest,forest,2005-06-18,15,41
T2,disturbed_forest,forest,2005-06-20,5,5
T2,disturbed_forest,forest,2005-07-16,7,16
T2,disturbed_forest,forest,2005-07-19,10,15
T2,disturbed_forest,forest,2005-07-20,3,6
T2,disturbed_forest,forest,2005-08-17,4,4
T2,disturbed_forest,forest,2005-08-18,6,12
T2,disturbed_forest,forest,2005-08-19,5,10
T2,disturbed_forest,forest,2005-08-20,3,5
T2,disturbed_forest,forest,2005-08-21,6,12
T2,disturbed_forest,forest,2005-09-17,7,20
T2,disturbed_forest,forest,2005-09-20,2,2
T2,disturbed_forest,forest,2005-09-21,6,8
T2,disturbed_forest,forest,2005-10-09,7,10
T2,disturbed_forest,forest,2005-10-11,9,11
T2,disturbed_forest,forest,2005-10-31,8,10
T2,disturbed_forest,forest,2006-06-17,18,54
T2,disturbed_forest,forest,2006-06-19,12,38
T2,disturbed_forest,forest,2006-06-21,9,30
T2,disturbed_forest,forest,2006-07-16,12,22
T2,disturbed_forest,forest,2006-07-19,11,26
T2,disturbed_forest,forest,2006-08-20,13,27
T2,disturbed_forest,forest,2006-08-21,11,22
T2,disturbed_forest,forest,2006-09-17,14,25
T2,disturbed_forest,forest,2006-09-19,5,6
T2,disturbed_forest,forest,2006-10-08,15,48
T2,disturbed_forest,forest,2006-10-11,5,6
T2,disturbed_forest,forest,2006-10-30,18,48
T2,disturbed_forest,forest,2006-11-01,13,31
T2,disturbed_forest,forest,2006-11-02,11,31
T2,disturbed_forest,forest,2007-06-17,18,48
T2,disturbed_forest,forest,2007-06-20,21,53
T2,disturbed_forest,forest,2007-07-18,10,21
T2,disturbed_forest,forest,2007-07-20,12,28
T2,disturbed_forest,forest,2007-09-16,11,23
T2,disturbed_forest,forest,2007-09-19,25,82
T2,disturbed_forest,forest,2007-10-07,18,53
T2,disturbed_forest,forest,2007-10-09,24,55
T2,disturbed_forest,forest,2008-06-19,49,291
T2,disturbed_forest,forest,2008-06-21,35,182
T2,disturbed_forest,forest,2008-10-12,11,39
T2,disturbed_forest,forest,2008-10-13,18,54
T2,disturbed_forest,forest,2008-10-15,7,32
T2,disturbed_forest,forest,2008-10-16,17,51
T2,disturbed_forest,forest,2012-07-15,11,26
T2,disturbed_forest,forest,2012-07-16,10,30
T2,disturbed_forest,forest,2012-07-17,8,14
T2,disturbed_forest,forest,2012-07-18,10,42
T2,disturbed_forest,forest,2012-08-21,12,41
T2,disturbed_forest,forest,2012-10-06,19,58
T2,disturbed_forest,forest,2012-10-13,18,39
T2,disturbed_forest,forest,2012-10-14,23,69
T2,disturbed_forest,forest,2012-10-27,19,42
T2,disturbed_forest,forest,2013-05-18,24,62
T2,disturbed_forest,forest,2013-05-19,21,59
T2,disturbed_forest,forest,2013-06-02,21,88
T2,disturbed_forest,forest,2013-06-05,19,92
T2,disturbed_forest,forest,2013-07-14,19,36
T2,disturbed_forest,forest,2013-08-18,25,62
T2,disturbed_forest,forest,2013-09-21,33,65
T2,disturbed_forest,forest,2013-09-23,18,28
T2,disturbed_forest,forest,2013-10-12,30,86
T3,closed_forest,forest,2003-06-26,9,16
T3,closed_forest,forest,2003-07-17,5,12
T3,closed_forest,forest,2003-07-18,6,14
T3,closed_forest,forest,2003-07-19,4,20
T3,closed_forest,forest,2003-07-20,6,10
T3,closed_forest,forest,2003-08-19,6,13
T3,closed_forest,forest,2003-08-20,12,30
T3,closed_forest,forest,2003-10-16,5,18
T3,closed_forest,forest,2003-10-17,9,36
T3,closed_forest,forest,2004-05-21,5,21
T3,closed_forest,forest,2004-06-17,6,16
T3,closed_forest,forest,2004-06-18,16,33
T3,closed_forest,forest,2004-06-20,11,21
T3,closed_forest,forest,2004-06-21,12,27
T3,closed_forest,forest,2004-07-17,11,78
T3,closed_forest,forest,2004-07-18,9,57
T3,closed_forest,forest,2004-08-18,8,23
T3,closed_forest,forest,2004-08-20,10,17
T3,closed_forest,forest,2004-09-17,10,60
T3,closed_forest,forest,2004-09-19,11,85
T3,closed_forest,forest,2004-10-11,6,37
T3,closed_forest,forest,2004-10-13,10,46
T3,closed_forest,forest,2004-10-14,5,36
T3,closed_forest,forest,2004-10-15,7,39
T3,closed_forest,forest,2005-05-21,8,13
T3,closed_forest,forest,2005-06-17,19,51
T3,closed_forest,forest,2005-06-18,11,35
T3,closed_forest,forest,2005-06-20,7,11
T3,closed_forest,forest,2005-07-16,7,13
T3,closed_forest,forest,2005-07-17,2,2
T3,closed_forest,forest,2005-07-19,9,12
T3,closed_forest,forest,2005-07-20,7,11
T3,closed_forest,forest,2005-08-17,4,4
T3,closed_forest,forest,2005-08-18,3,6
T3,closed_forest,forest,2005-08-19,9,12
T3,closed_forest,forest,2005-08-20,4,7
T3,closed_forest,forest,2005-08-21,12,28
T3,closed_forest,forest,2005-09-17,12,13
T3,closed_forest,forest,2005-09-20,1,1
T3,closed_forest,forest,2005-09-21,6,17
T3,closed_forest,forest,2005-10-09,14,30
T3,closed_forest,forest,2005-10-11,11,18
T3,closed_forest,forest,2005-10-31,2,2
T3,closed_forest,forest,2006-06-17,21,86
T3,closed_forest,forest,2006-06-19,6,23
T3,closed_forest,forest,2006-06-21,13,61
T3,closed_forest,forest,2006-07-16,18,67
T3,closed_forest,forest,2006-07-19,19,59
T3,closed_forest,forest,2006-08-20,15,31
T3,closed_forest,forest,2006-08-21,17,29
T3,closed_forest,forest,2006-09-17,14,22
T3,closed_forest,forest,2006-09-19,13,20
T3,closed_forest,forest,2006-10-08,20,38
T3,closed_forest,forest,2006-10-11,15,24
T3,closed_forest,forest,2006-10-30,20,39
T3,closed_forest,forest,2006-11-02,19,71
T3,closed_forest,forest,2007-06-17,24,75
T3,closed_forest,forest,2007-06-20,34,101
T3,closed_forest,forest,2007-07-18,24,57
T3,closed_forest,forest,2007-07-20,24,59
T3,closed_forest,forest,2007-09-16,14,29
T3,closed_forest,forest,2007-09-19,29,123
T3,closed_forest,forest,2007-10-07,24,64
T3,closed_forest,forest,2007-10-09,26,57
T3,closed_forest,forest,2008-06-19,39,230
T3,closed_forest,forest,2008-10-12,16,82
T3,closed_forest,forest,2008-10-13,27,100
T3,closed_forest,forest,2008-10-16,22,96
T3,closed_forest,forest,2012-06-10,30,224
T3,closed_forest,forest,2012-07-15,18,50
T3,closed_forest,forest,2012-07-16,19,49
T3,closed_forest,forest,2012-07-17,13,32
T3,closed_forest,forest,2012-07-18,14,73
T3,closed_forest,forest,2012-08-21,14,50
T3,closed_forest,forest,2012-10-06,19,43
T3,closed_forest,forest,2012-10-14,24,89
T3,closed_forest,forest,2012-10-27,16,45
T3,closed_forest,forest,2013-05-18,28,161
T3,closed_forest,forest,2013-05-19,28,137
T3,closed_forest,forest,2013-06-05,39,208
T3,closed_forest,forest,2013-07-14,27,81
T3,closed_forest,forest,2013-08-18,24,84
T3,closed_forest,forest,2013-09-21,16,32
T3,closed_forest,forest,2013-09-23,18,43
T3,closed_forest,forest,2013-10-12,25,117
T4,road,open,2003-06-26,23,37
T4,road,open,2003-07-19,18,53
T4,road,open,2003-07-20,16,51
T4,road,open,2003-07-21,21,72
T4,road,open,2003-08-16,20,45
T4,road,open,2003-08-17,17,41
T4,road,open,2003-08-19,27,96
T4,road,open,2003-10-12,27,76
T4,road,open,2003-10-13,29,80
T4,road,open,2003-10-15,18,55
T4,road,open,2003-10-17,25,45
T4,road,open,2004-05-15,19,46
T4,road,open,2004-05-20,16,68
T4,road,open,2004-05-21,32,266
T4,road,open,2004-06-16,35,139
T4,road,open,2004-06-17,28,93
T4,road,open,2004-06-18,30,120
T4,road,open,2004-06-20,25,113
T4,road,open,2004-07-16,47,175
T4,road,open,2004-07-17,32,241
T4,road,open,2004-07-18,27,170
T4,road,open,2004-08-18,29,115
T4,road,open,2004-08-19,26,90
T4,road,open,2004-08-20,25,69
T4,road,open,2004-09-16,29,102
T4,road,open,2004-09-18,37,229
T4,road,open,2004-09-19,30,268
T4,road,open,2004-10-12,33,155
T4,road,open,2004-10-13,28,181
T4,road,open,2005-05-15,20,64
T4,road,open,2005-05-16,16,58
T4,road,open,2005-05-17,23,121
T4,road,open,2005-05-19,22,122
T4,road,open,2005-05-21,21,117
T4,road,open,2005-06-18,35,158
T4,road,open,2005-06-21,26,108
T4,road,open,2005-07-15,16,42
T4,road,open,2005-07-16,19,30
T4,road,open,2005-07-17,22,38
T4,road,open,2005-07-18,18,65
T4,road,open,2005-07-19,22,48
T4,road,open,2005-08-16,18,39
T4,road,open,2005-08-17,20,61
T4,road,open,2005-08-18,13,55
T4,road,open,2005-08-19,21,69
T4,road,open,2005-08-20,22,47
T4,road,open,2005-09-16,23,78
T4,road,open,2005-09-20,23,83
T4,road,open,2005-09-21,14,58
T4,road,open,2005-10-08,17,60
T4,road,open,2005-10-09,19,62
T4,road,open,2005-10-10,22,53
T4,road,open,2005-10-12,20,52
T4,road,open,2005-10-31,18,77
T4,road,open,2005-11-01,17,56
T4,road,open,2006-06-16,27,138
T4,road,open,2006-06-18,19,133
T4,road,open,2006-06-20,47,886
T4,road,open,2006-07-15,16,37
T4,road,open,2006-07-18,26,80
T4,road,open,2006-07-19,19,66
T4,road,open,2006-07-20,23,72
T4,road,open,2006-08-15,20,45
T4,road,open,2006-08-20,24,181
T4,road,open,2006-08-21,15,51
T4,road,open,2006-09-08,12,29
T4,road,open,2006-09-16,22,67
T4,road,open,2006-09-20,22,115
T4,road,open,2006-10-07,24,52
T4,road,open,2006-10-09,22,52
T4,road,open,2006-10-10,29,127
T4,road,open,2006-10-12,26,97
T4,road,open,2006-10-13,23,152
T4,road,open,2006-10-29,30,133
T4,road,open,2006-10-31,47,273
T4,road,open,2006-11-01,38,192
T4,road,open,2007-06-15,23,89
T4,road,open,2007-06-16,21,64
T4,road,open,2007-06-20,27,83
T4,road,open,2007-07-17,17,37
T4,road,open,2007-07-21,16,35
T4,road,open,2007-09-15,29,129
T4,road,open,2007-09-17,33,343
T4,road,open,2007-09-18,26,129
T4,road,open,2007-09-20,25,94
T4,road,open,2007-10-06,29,75
T4,road,open,2007-10-08,30,160
T4,road,open,2007-10-11,20,65
T4,road,open,2008-06-17,32,128
T4,road,open,2008-06-20,41,780
T4,road,open,2008-06-21,36,173
T4,road,open,2008-10-11,23,77
T4,road,open,2008-10-15,11,26
T4,road,open,2008-10-16,16,77
T4,road,open,2012-06-10,26,79
T4,road,open,2012-07-16,15,24
T4,road,open,2012-07-17,12,21
T4,road,open,2012-08-23,5,8
T4,road,open,2012-08-25,10,26
T4,road,open,2012-10-12,21,57
T4,road,open,2012-10-13,23,55
T4,road,open,2012-10-14,21,57
T4,road,open,2012-10-27,31,87
T4,road,open,2013-05-18,25,116
T4,road,open,2013-05-19,21,79
T4,road,open,2013-06-04,28,127
T4,road,open,2013-06-05,29,88
T4,road,open,2013-07-13,18,54
T4,road,open,2013-08-17,21,50
T4,road,open,2013-09-22,25,50
T4,road,open,2013-10-13,19,64
T5,secondary_forest,forest,2005-05-17,15,52
T5,secondary_forest,forest,2005-05-18,41,134
T5,secondary_forest,forest,2005-06-17,17,53
T5,secondary_forest,forest,2005-06-19,35,95
T5,secondary_forest,forest,2005-06-21,28,106
T5,secondary_forest,forest,2005-07-16,23,68
T5,secondary_forest,forest,2005-07-17,22,37
T5,secondary_forest,forest,2005-07-18,25,53
T5,secondary_forest,forest,2005-07-19,17,40
T5,secondary_forest,forest,2005-08-18,15,34
T5,secondary_forest,forest,2005-08-19,16,23
T5,secondary_forest,forest,2005-08-20,20,46
T5,secondary_forest,forest,2005-09-17,18,31
T5,secondary_forest,forest,2005-09-20,11,25
T5,secondary_forest,forest,2005-09-21,10,27
T5,secondary_forest,forest,2005-09-22,11,27
T5,secondary_forest,forest,2005-10-09,32,90
T5,secondary_forest,forest,2005-10-31,6,11
T5,secondary_forest,forest,2005-11-01,7,15
T5,secondary_forest,forest,2005-11-04,16,23
T5,secondary_forest,forest,2006-06-19,26,52
T5,secondary_forest,forest,2006-06-20,27,108
T5,secondary_forest,forest,2006-06-22,26,58
T5,secondary_forest,forest,2006-07-19,39,190
T5,secondary_forest,forest,2006-07-20,17,50
T5,secondary_forest,forest,2006-08-19,15,49
T5,secondary_forest,forest,2006-08-20,21,47
T5,secondary_forest,forest,2006-08-21,26,77
T5,secondary_forest,forest,2006-09-18,27,122
T5,secondary_forest,forest,2006-10-09,13,52
T5,secondary_forest,forest,2006-10-10,41,130
T5,secondary_forest,forest,2006-11-01,33,118
T5,secondary_forest,forest,2007-06-19,16,26
T5,secondary_forest,forest,2007-06-20,23,90
T5,secondary_forest,forest,2007-07-19,31,63
T5,secondary_forest,forest,2007-07-20,6,22
T5,secondary_forest,forest,2007-07-23,30,47
T5,secondary_forest,forest,2007-09-17,27,66
T5,secondary_forest,forest,2007-09-20,33,84
T5,secondary_forest,forest,2007-10-08,41,116
T5,secondary_forest,forest,2007-10-11,14,64
T5,secondary_forest,forest,2008-10-13,21,96
T5,secondary_forest,forest,2008-10-16,40,147
T5,secondary_forest,forest,2012-07-16,29,61
T5,secondary_forest,forest,2012-07-17,26,63
T5,secondary_forest,forest,2012-07-19,29,61
T5,secondary_forest,forest,2012-08-23,19,36
T5,secondary_forest,forest,2012-09-23,18,42
T5,secondary_forest,forest,2012-10-13,16,50
T5,secondary_forest,forest,2012-10-14,19,64
T5,secondary_forest,forest,2012-10-27,24,96
T5,secondary_forest,forest,2013-05-18,46,218
T5,secondary_forest,forest,2013-05-19,45,156
T5,secondary_forest,forest,2013-06-03,38,203
T5,secondary_forest,forest,2013-07-13,30,131
T5,secondary_forest,forest,2013-08-17,41,82
T5,secondary_forest,forest,2013-09-22,35,120
T5,secondary_forest,forest,2013-10-13,48,170
T6,bamboo_forest,forest,2005-09-21,4,10
T6,bamboo_forest,forest,2005-10-11,9,27
T6,bamboo_forest,forest,2006-06-17,6,36
T6,bamboo_forest,forest,2006-07-16,7,20
T6,bamboo_forest,forest,2006-08-21,4,7
T6,bamboo_forest,forest,2006-09-17,6,22
T6,bamboo_forest,forest,2006-09-19,7,25
T6,bamboo_forest,forest,2006-10-08,7,31
T6,bamboo_forest,forest,2006-10-11,6,17
T6,bamboo_forest,forest,2006-10-30,6,15
T6,bamboo_forest,forest,2007-06-21,4,21
T6,bamboo_forest,forest,2007-09-16,5,8
T6,bamboo_forest,forest,2007-10-07,8,25
T6,bamboo_forest,forest,2008-06-20,11,32
T6,bamboo_forest,forest,2008-10-12,9,55
T6,bamboo_forest,forest,2008-10-13,12,70
T6,bamboo_forest,forest,2012-07-15,7,15
T6,bamboo_forest,forest,2012-07-16,6,25
T6,bamboo_forest,forest,2012-07-17,3,22
T6,bamboo_forest,forest,2012-07-18,7,21
T6,bamboo_forest,forest,2012-08-22,4,7
T6,bamboo_forest,forest,2012-10-13,4,45
T6,bamboo_forest,forest,2012-10-14,5,71
T6,bamboo_forest,forest,2012-10-27,6,23
T6,bamboo_forest,forest,2013-05-18,15,69
T6,bamboo_forest,forest,2013-06-02,9,65
T6,bamboo_forest,forest,2013-08-18,9,15
T6,bamboo_forest,forest,2013-09-21,10,22
T6,bamboo_forest,forest,2013-09-22,9,17
T6,bamboo_forest,forest,2013-10-12,10,134
T7,unknown,open,2007-06-21,27,68
